Name;Goods types;Measurement unit;Group ID;Product types;Value;Date
SUBCARPATHIA;;PLN;2;pork ham cooked - per 1kg;21.37;2013-3
ŁÓDŹ;;PLN;4;bread - per 1kg;;2018-2
KUYAVIA-POMERANIA;;PLN;2;barley groats sausage - per 1kg;3.55;2019-12
LOWER SILESIA;;PLN;2;dressed chickens - per 1kg;6.14;2019-2
WARMIA-MASURIA;;PLN;2;Italian head cheese - per 1kg;5.63;2002-3
HOLY CROSS;whole pickled cucumbers 0.9l - per 1pc.;PLN;1;;0.28;2010-4
WEST POMERANIA;fresh chichen egges - per 666pcs.;PLN;3;;0.0;2004-12
POLAND;;PLN;2;pork belly cooked - per 1kg;19.62;2017-3
KUYAVIA-POMERANIA;;PLN;2;pork  with bone (center-cut pork chop) - per 1kg;11.19;1999-4
PODLASKIE;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;3.86;2017-7
WARMIA-MASURIA;;PLN;4;Poznan wheat flour, bagged - per 1kg;0.95;2009-5
GREATER POLAND;;PLN;2;fresh non-dressed carp - per 1kg;;2011-3
POMERANIA;30% tomato concentrate - per 1kg;PLN;1;;7.46;1999-10
POLAND;fresh chichen egges - per 666pcs.;PLN;3;;0.27;2009-8
LESSER POLAND;;PLN;2;smoked bacon with ribs - per 1kg;10.74;2010-12
POLAND;whole pickled cucumbers 0.9l - per 1pc.;PLN;1;;2.36;2004-12
POLAND;;PLN;4;bread - per 1kg;;2017-9
SILESIA;;PLN;2;fresh non-dressed carp - per 1kg;;2010-11
SILESIA;;PLN;2;fresh non-dressed carp - per 1kg;;2004-8
KUYAVIA-POMERANIA;;PLN;4;Poznan wheat flour, bagged - per 1kg;1.17;2008-11
SILESIA;;PLN;2;haddock fillets frozen - per 1kg;0.0;1999-3
ŁÓDŹ;;PLN;2;salted herring, non-dressed - per 1kg;0.0;2003-7
ŁÓDŹ;;PLN;2;barley groats sausage - per 1kg;6.61;2014-10
MASOVIA;;PLN;4;buckwheat groats roasted whole - per 1kg;6.22;2015-9
PODLASKIE;;PLN;2;pork ham cooked - per 1kg;15.27;2008-7
KUYAVIA-POMERANIA;;PLN;2;beef with bone (rump steak) - per 1kg;25.14;2013-8
LOWER SILESIA;frozen carrot and pea mix - per 1kg;EUR;1;;0.6698795180722891;2005-7
LOWER SILESIA;;PLN;4;Poznan wheat flour, bagged - per 1kg;1.05;2000-3
GREATER POLAND;beet sugar white, bagged - per 1kg;PLN;3;;2.38;2009-6
HOLY CROSS;;PLN;2;pork belly cooked - per 1kg;12.55;2003-5
GREATER POLAND;;PLN;2;boneless beef (sirloin) - per 1kg;18.2;2004-2
LUBLIN;;PLN;4;buckwheat groats roasted whole - per 1kg;3.87;2010-1
SUBCARPATHIA;;PLN;2;barley groats sausage - per 1kg;3.24;2005-10
LUBUSZ;;PLN;2;boneless beef (sirloin) - per 1kg;31.45;2016-3
HOLY CROSS;;PLN;2;salted herring, non-dressed - per 1kg;0.0;2014-2
LESSER POLAND;;PLN;4;Masurian barley groats - per 1kg;1.65;2008-2
WEST POMERANIA;;PLN;2;smoked bacon with ribs - per 1kg;12.46;2011-9
MASOVIA;apple juice, boxed - per 1l;PLN;1;;1.91;2007-8
WARMIA-MASURIA;fresh chichen egges - per 666pcs.;PLN;3;;0.0;2003-12
MASOVIA;white table salt bagged - per 1kg;PLN;3;;0.0;2002-1
SILESIA;natural chocolate plain - per 1kg;PLN;3;;10.59;2019-6
WEST POMERANIA;;PLN;4;buckwheat groats roasted whole - per 1kg;5.78;2010-8
LUBLIN;;PLN;2;smoked bacon with ribs - per 1kg;8.39;2002-11
MASOVIA;;PLN;4;buckwheat groats roasted whole - per 1kg;1.87;2002-2
SILESIA;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;5.46;2018-6
MASOVIA;;PLN;2;pork  meat (raw bacon) - per 1kg;14.19;2018-8
OPOLE;;PLN;2;haddock fillets frozen - per 1kg;0.0;2005-9
LOWER SILESIA;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2015-9
SUBCARPATHIA;;PLN;2;pork belly cooked - per 1kg;13.24;2006-2
WEST POMERANIA;;PLN;4;Masurian barley groats - per 1kg;1.02;2006-9
GREATER POLAND;;PLN;2;fresh non-dressed trout - per 1kg;15.0;2013-12
PODLASKIE;;PLN;2;pork ham cooked - per 1kg;14.45;2007-8
POLAND;;PLN;4;Masurian barley groats - per 1kg;2.08;2017-1
ŁÓDŹ;;PLN;2;pork meat with bone (shoulder) - per 1kg;9.09;2016-8
WEST POMERANIA;natural chocolate plain - per 1kg;PLN;3;;0.0;2014-8
PODLASKIE;;PLN;4;bread - per 1kg;;2004-5
SUBCARPATHIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1;;2.39;2007-5
KUYAVIA-POMERANIA;;PLN;2;Italian head cheese - per 1kg;7.04;2007-6
MASOVIA;;PLN;2;pork meat with bone (shoulder) - per 1kg;8.99;2001-3
WARMIA-MASURIA;;PLN;2;pork belly cooked - per 1kg;15.83;2008-2
POMERANIA;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2001-11
POMERANIA;frozen carrot and pea mix - per 1kg;EUR;1;;0.633734939759036;2001-4
WEST POMERANIA;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;1.9;2001-4
KUYAVIA-POMERANIA;;PLN;2;pork  meat (raw bacon) - per 1kg;7.31;2005-4
LOWER SILESIA;30% tomato concentrate - per 1kg;PLN;1;;0.0;2007-10
GREATER POLAND;;PLN;2;Hunter's sausage dried - per 1kg;17.93;2005-5
LOWER SILESIA;white table salt bagged - per 1kg;PLN;3;;0.0;2003-10
GREATER POLAND;;PLN;2;smoked bacon with ribs - per 1kg;16.21;2018-7
MASOVIA;;PLN;2;dressed chickens - per 1kg;6.31;2018-5
POMERANIA;;PLN;4;Masurian barley groats - per 1kg;1.47;2017-9
PODLASKIE;;PLN;2;fresh non-dressed carp - per 1kg;;2007-11
WEST POMERANIA;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;3.88;2011-12
POMERANIA;;PLN;4;bread - per 1kg;;2015-12
WARMIA-MASURIA;;PLN;2;Backpacker's canned pork meat - per 300 g;2.57;2014-10
PODLASKIE;natural chocolate plain - per 1kg;PLN;3;;0.0;2017-3
POMERANIA;;PLN;4;Masurian barley groats - per 1kg;1.26;2007-2
ŁÓDŹ;;PLN;2;pork ham cooked - per 1kg;17.32;2014-4
HOLY CROSS;30% tomato concentrate - per 1kg;PLN;1;;0.0;2007-2
KUYAVIA-POMERANIA;;PLN;4;buckwheat groats roasted whole - per 1kg;1.39;2014-9
ŁÓDŹ;;PLN;2;beef with bone (rump steak) - per 1kg;17.43;2008-5
WEST POMERANIA;;PLN;2;Backpacker's canned pork meat - per 300 g;0.0;2017-2
WARMIA-MASURIA;white table salt bagged - per 1kg;PLN;3;;0.0;2000-12
LESSER POLAND;;PLN;2;pork ham cooked - per 1kg;19.35;2016-10
KUYAVIA-POMERANIA;white table salt bagged - per 1kg;PLN;3;;0.4;2012-10
LESSER POLAND;;PLN;2;pork  with bone (center-cut pork chop) - per 1kg;11.23;2003-10
MASOVIA;;PLN;2;pork meat with bone (shoulder) - per 1kg;8.53;2010-4
ŁÓDŹ;whole pickled cucumbers 0.9l - per 1pc.;PLN;1;;0.0;2001-8
GREATER POLAND;;PLN;2;beef with bone (rump steak) - per 1kg;26.8;2015-5
MASOVIA;;PLN;2;fresh non-dressed carp - per 1kg;;2015-8
POLAND;;PLN;2;haddock fillets frozen - per 1kg;12.49;2011-4
WEST POMERANIA;;PLN;4;Poznan wheat flour, bagged - per 1kg;1.11;2007-5
GREATER POLAND;;PLN;2;haddock fillets frozen - per 1kg;7.95;2004-4
KUYAVIA-POMERANIA;30% tomato concentrate - per 1kg;PLN;1;;8.83;2010-1
SILESIA;beet sugar white, bagged - per 1kg;PLN;3;;0.0;2015-1
POMERANIA;;PLN;2;pork belly cooked - per 1kg;16.7;2008-10
SUBCARPATHIA;;PLN;4;Masurian barley groats - per 1kg;0.0;2006-8
LESSER POLAND;white table salt bagged - per 1kg;PLN;3;;0.4;2008-6
SILESIA;;PLN;4;Masurian barley groats - per 1kg;0.93;2019-5
ŁÓDŹ;;PLN;2;pork  with bone (center-cut pork chop) - per 1kg;12.29;2000-2
PODLASKIE;;PLN;2;beef with bone (rump steak) - per 1kg;13.46;2004-10
ŁÓDŹ;;PLN;2;pork meat with bone (shoulder) - per 1kg;8.22;2005-11
HOLY CROSS;;PLN;2;Backpacker's canned pork meat - per 300 g;3.17;2000-10
SUBCARPATHIA;;PLN;4;Masurian barley groats - per 1kg;0.0;2007-8
LUBUSZ;frozen carrot and pea mix - per 1kg;EUR;1;;0.0;2003-10
GREATER POLAND;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;1999-12
LUBUSZ;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;2.34;2007-1
LESSER POLAND;beet sugar white, bagged - per 1kg;PLN;3;;3.32;2012-6
POMERANIA;;PLN;4;buckwheat groats roasted whole - per 1kg;0.0;2007-3
ŁÓDŹ;;PLN;2;fresh non-dressed trout - per 1kg;0.0;2010-11
WEST POMERANIA;;PLN;2;pork belly cooked - per 1kg;14.57;2003-5
OPOLE;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;4.0;2017-2
KUYAVIA-POMERANIA;30% tomato concentrate - per 1kg;PLN;1;;0.0;2017-4
HOLY CROSS;;PLN;2;beef with bone (rump steak) - per 1kg;8.54;2001-3
SILESIA;frozen carrot and pea mix - per 1kg;EUR;1;;0.672289156626506;2019-2
SILESIA;;PLN;2;salted herring, non-dressed - per 1kg;8.92;2012-12
POMERANIA;;PLN;2;pork  with bone (center-cut pork chop) - per 1kg;13.01;2015-10
POLAND;;PLN;2;Hunter's sausage dried - per 1kg;19.71;2019-2
LESSER POLAND;30% tomato concentrate - per 1kg;PLN;1;;4.87;1999-5
WEST POMERANIA;;PLN;2;pork  meat (raw bacon) - per 1kg;13.93;2017-1
MASOVIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1;;3.61;2002-3
SILESIA;;PLN;2;boneless beef (sirloin) - per 1kg;30.27;2012-3
POMERANIA;30% tomato concentrate - per 1kg;PLN;1;;11.91;2018-12
MASOVIA;;PLN;4;plain mixed bread (wheat-rye) - per 1kg;2.39;2002-4
