province;product_types;currency;product_group_id;product_line;value;date
SUBCARPATHIA;;PLN;2.0;pork ham cooked - per 1kg;21.37;2013-3
ŁÓDŹ;;PLN;4.0;bread - per 1kg;;2018-2
KUYAVIA-POMERANIA;;PLN;2.0;barley groats sausage - per 1kg;3.55;2019-12
LOWER SILESIA;;PLN;2.0;dressed chickens - per 1kg;6.14;2019-2
WARMIA-MASURIA;;PLN;2.0;Italian head cheese - per 1kg;5.63;2002-3
HOLY CROSS;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;0.28;2010-4
WEST POMERANIA;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.0;2004-12
POLAND;;PLN;2.0;pork belly cooked - per 1kg;19.62;2017-3
KUYAVIA-POMERANIA;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;11.19;1999-4
PODLASKIE;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.86;2017-7
WARMIA-MASURIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.95;2009-5
GREATER POLAND;;PLN;2.0;fresh non-dressed carp - per 1kg;;2011-3
POMERANIA;30% tomato concentrate - per 1kg;PLN;1.0;;7.46;1999-10
POLAND;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.27;2009-8
LESSER POLAND;;PLN;2.0;smoked bacon with ribs - per 1kg;10.74;2010-12
POLAND;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;2.36;2004-12
POLAND;;PLN;4.0;bread - per 1kg;;2017-9
SILESIA;;PLN;2.0;fresh non-dressed carp - per 1kg;;2010-11
SILESIA;;PLN;2.0;fresh non-dressed carp - per 1kg;;2004-8
KUYAVIA-POMERANIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.17;2008-11
SILESIA;;PLN;2.0;haddock fillets frozen - per 1kg;0.0;1999-3
ŁÓDŹ;;PLN;2.0;salted herring, non-dressed - per 1kg;0.0;2003-7
ŁÓDŹ;;PLN;2.0;barley groats sausage - per 1kg;6.61;2014-10
MASOVIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;6.22;2015-9
PODLASKIE;;PLN;2.0;pork ham cooked - per 1kg;15.27;2008-7
KUYAVIA-POMERANIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;25.14;2013-8
LOWER SILESIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.78;2005-7
LOWER SILESIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.05;2000-3
GREATER POLAND;beet sugar white, bagged - per 1kg;PLN;3.0;;2.38;2009-6
HOLY CROSS;;PLN;2.0;pork belly cooked - per 1kg;12.55;2003-5
GREATER POLAND;;PLN;2.0;boneless beef (sirloin) - per 1kg;18.2;2004-2
LUBLIN;;PLN;4.0;buckwheat groats roasted whole - per 1kg;3.87;2010-1
SUBCARPATHIA;;PLN;2.0;barley groats sausage - per 1kg;3.24;2005-10
LUBUSZ;;PLN;2.0;boneless beef (sirloin) - per 1kg;31.45;2016-3
HOLY CROSS;;PLN;2.0;salted herring, non-dressed - per 1kg;0.0;2014-2
LESSER POLAND;;PLN;4.0;Masurian barley groats - per 1kg;1.65;2008-2
WEST POMERANIA;;PLN;2.0;smoked bacon with ribs - per 1kg;12.46;2011-9
MASOVIA;apple juice, boxed - per 1l;PLN;1.0;;1.91;2007-8
WARMIA-MASURIA;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.0;2003-12
MASOVIA;white table salt bagged - per 1kg;PLN;3.0;;0.0;2002-1
SILESIA;natural chocolate plain - per 1kg;PLN;3.0;;10.59;2019-6
WEST POMERANIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;5.78;2010-8
LUBLIN;;PLN;2.0;smoked bacon with ribs - per 1kg;8.39;2002-11
MASOVIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;1.87;2002-2
SILESIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;5.46;2018-6
MASOVIA;;PLN;2.0;pork  meat (raw bacon) - per 1kg;14.19;2018-8
OPOLE;;PLN;2.0;haddock fillets frozen - per 1kg;0.0;2005-9
LOWER SILESIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2015-9
SUBCARPATHIA;;PLN;2.0;pork belly cooked - per 1kg;13.24;2006-2
WEST POMERANIA;;PLN;4.0;Masurian barley groats - per 1kg;1.02;2006-9
GREATER POLAND;;PLN;2.0;fresh non-dressed trout - per 1kg;15.0;2013-12
PODLASKIE;;PLN;2.0;pork ham cooked - per 1kg;14.45;2007-8
POLAND;;PLN;4.0;Masurian barley groats - per 1kg;2.08;2017-1
ŁÓDŹ;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;9.09;2016-8
WEST POMERANIA;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2014-8
PODLASKIE;;PLN;4.0;bread - per 1kg;;2004-5
SUBCARPATHIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;2.39;2007-5
KUYAVIA-POMERANIA;;PLN;2.0;Italian head cheese - per 1kg;7.04;2007-6
MASOVIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;8.99;2001-3
WARMIA-MASURIA;;PLN;2.0;pork belly cooked - per 1kg;15.83;2008-2
POMERANIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2001-11
POMERANIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.63;2001-4
WEST POMERANIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;1.9;2001-4
