province;product_types;currency;product_group_id;product_line;value;date;product;month;year;quarter
SUBCARPATHIA;;PLN;2.0;pork ham cooked - per 1kg;21.37;2013-03-01;pork ham cooked - per 1kg;3.0;2013.0;1.0
ŁÓDŹ;;PLN;4.0;bread - per 1kg;;2018-02-01;bread - per 1kg;2.0;2018.0;1.0
KUYAVIA-POMERANIA;;PLN;2.0;barley groats sausage - per 1kg;3.55;2019-12-01;barley groats sausage - per 1kg;12.0;2019.0;4.0
LOWER SILESIA;;PLN;2.0;dressed chickens - per 1kg;6.14;2019-02-01;dressed chickens - per 1kg;2.0;2019.0;1.0
WARMIA-MASURIA;;PLN;2.0;Italian head cheese - per 1kg;5.63;2002-03-01;Italian head cheese - per 1kg;3.0;2002.0;1.0
HOLY CROSS;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;0.28;2010-04-01;whole pickled cucumbers 0.9l - per 1pc.;4.0;2010.0;2.0
WEST POMERANIA;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.0;2004-12-01;fresh chicken eggs - per 10pcs.;12.0;2004.0;4.0
POLAND;;PLN;2.0;pork belly cooked - per 1kg;19.62;2017-03-01;pork belly cooked - per 1kg;3.0;2017.0;1.0
KUYAVIA-POMERANIA;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;11.19;1999-04-01;pork  with bone (center-cut pork chop) - per 1kg;4.0;1999.0;2.0
PODLASKIE;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.86;2017-07-01;plain mixed bread (wheat-rye) - per 1kg;7.0;2017.0;3.0
WARMIA-MASURIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.95;2009-05-01;Poznan wheat flour, bagged - per 1kg;5.0;2009.0;2.0
GREATER POLAND;;PLN;2.0;fresh non-dressed carp - per 1kg;;2011-03-01;fresh non-dressed carp - per 1kg;3.0;2011.0;1.0
POMERANIA;30% tomato concentrate - per 1kg;PLN;1.0;;7.46;1999-10-01;30% tomato concentrate - per 1kg;10.0;1999.0;4.0
POLAND;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.27;2009-08-01;fresh chicken eggs - per 10pcs.;8.0;2009.0;3.0
LESSER POLAND;;PLN;2.0;smoked bacon with ribs - per 1kg;10.74;2010-12-01;smoked bacon with ribs - per 1kg;12.0;2010.0;4.0
POLAND;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;2.36;2004-12-01;whole pickled cucumbers 0.9l - per 1pc.;12.0;2004.0;4.0
POLAND;;PLN;4.0;bread - per 1kg;;2017-09-01;bread - per 1kg;9.0;2017.0;3.0
SILESIA;;PLN;2.0;fresh non-dressed carp - per 1kg;;2010-11-01;fresh non-dressed carp - per 1kg;11.0;2010.0;4.0
SILESIA;;PLN;2.0;fresh non-dressed carp - per 1kg;;2004-08-01;fresh non-dressed carp - per 1kg;8.0;2004.0;3.0
KUYAVIA-POMERANIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.17;2008-11-01;Poznan wheat flour, bagged - per 1kg;11.0;2008.0;4.0
SILESIA;;PLN;2.0;haddock fillets frozen - per 1kg;0.0;1999-03-01;haddock fillets frozen - per 1kg;3.0;1999.0;1.0
ŁÓDŹ;;PLN;2.0;salted herring, non-dressed - per 1kg;0.0;2003-07-01;salted herring, non-dressed - per 1kg;7.0;2003.0;3.0
ŁÓDŹ;;PLN;2.0;barley groats sausage - per 1kg;6.61;2014-10-01;barley groats sausage - per 1kg;10.0;2014.0;4.0
MASOVIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;6.22;2015-09-01;buckwheat groats roasted whole - per 1kg;9.0;2015.0;3.0
PODLASKIE;;PLN;2.0;pork ham cooked - per 1kg;15.27;2008-07-01;pork ham cooked - per 1kg;7.0;2008.0;3.0
KUYAVIA-POMERANIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;25.14;2013-08-01;beef with bone (rump steak) - per 1kg;8.0;2013.0;3.0
LOWER SILESIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.78;2005-07-01;frozen carrot and pea mix - per 1kg;7.0;2005.0;3.0
LOWER SILESIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.05;2000-03-01;Poznan wheat flour, bagged - per 1kg;3.0;2000.0;1.0
GREATER POLAND;beet sugar white, bagged - per 1kg;PLN;3.0;;2.38;2009-06-01;beet sugar white, bagged - per 1kg;6.0;2009.0;2.0
HOLY CROSS;;PLN;2.0;pork belly cooked - per 1kg;12.55;2003-05-01;pork belly cooked - per 1kg;5.0;2003.0;2.0
GREATER POLAND;;PLN;2.0;boneless beef (sirloin) - per 1kg;18.2;2004-02-01;boneless beef (sirloin) - per 1kg;2.0;2004.0;1.0
LUBLIN;;PLN;4.0;buckwheat groats roasted whole - per 1kg;3.87;2010-01-01;buckwheat groats roasted whole - per 1kg;1.0;2010.0;1.0
SUBCARPATHIA;;PLN;2.0;barley groats sausage - per 1kg;3.24;2005-10-01;barley groats sausage - per 1kg;10.0;2005.0;4.0
LUBUSZ;;PLN;2.0;boneless beef (sirloin) - per 1kg;31.45;2016-03-01;boneless beef (sirloin) - per 1kg;3.0;2016.0;1.0
HOLY CROSS;;PLN;2.0;salted herring, non-dressed - per 1kg;0.0;2014-02-01;salted herring, non-dressed - per 1kg;2.0;2014.0;1.0
LESSER POLAND;;PLN;4.0;Masurian barley groats - per 1kg;1.65;2008-02-01;Masurian barley groats - per 1kg;2.0;2008.0;1.0
WEST POMERANIA;;PLN;2.0;smoked bacon with ribs - per 1kg;12.46;2011-09-01;smoked bacon with ribs - per 1kg;9.0;2011.0;3.0
MASOVIA;apple juice, boxed - per 1l;PLN;1.0;;1.91;2007-08-01;apple juice, boxed - per 1l;8.0;2007.0;3.0
WARMIA-MASURIA;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.0;2003-12-01;fresh chicken eggs - per 10pcs.;12.0;2003.0;4.0
MASOVIA;white table salt bagged - per 1kg;PLN;3.0;;0.0;2002-01-01;white table salt bagged - per 1kg;1.0;2002.0;1.0
SILESIA;natural chocolate plain - per 1kg;PLN;3.0;;10.59;2019-06-01;natural chocolate plain - per 1kg;6.0;2019.0;2.0
WEST POMERANIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;5.78;2010-08-01;buckwheat groats roasted whole - per 1kg;8.0;2010.0;3.0
LUBLIN;;PLN;2.0;smoked bacon with ribs - per 1kg;8.39;2002-11-01;smoked bacon with ribs - per 1kg;11.0;2002.0;4.0
MASOVIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;1.87;2002-02-01;buckwheat groats roasted whole - per 1kg;2.0;2002.0;1.0
SILESIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;5.46;2018-06-01;plain mixed bread (wheat-rye) - per 1kg;6.0;2018.0;2.0
MASOVIA;;PLN;2.0;pork  meat (raw bacon) - per 1kg;14.19;2018-08-01;pork  meat (raw bacon) - per 1kg;8.0;2018.0;3.0
OPOLE;;PLN;2.0;haddock fillets frozen - per 1kg;0.0;2005-09-01;haddock fillets frozen - per 1kg;9.0;2005.0;3.0
LOWER SILESIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2015-09-01;buckwheat groats roasted whole - per 1kg;9.0;2015.0;3.0
SUBCARPATHIA;;PLN;2.0;pork belly cooked - per 1kg;13.24;2006-02-01;pork belly cooked - per 1kg;2.0;2006.0;1.0
WEST POMERANIA;;PLN;4.0;Masurian barley groats - per 1kg;1.02;2006-09-01;Masurian barley groats - per 1kg;9.0;2006.0;3.0
GREATER POLAND;;PLN;2.0;fresh non-dressed trout - per 1kg;15.0;2013-12-01;fresh non-dressed trout - per 1kg;12.0;2013.0;4.0
PODLASKIE;;PLN;2.0;pork ham cooked - per 1kg;14.45;2007-08-01;pork ham cooked - per 1kg;8.0;2007.0;3.0
POLAND;;PLN;4.0;Masurian barley groats - per 1kg;2.08;2017-01-01;Masurian barley groats - per 1kg;1.0;2017.0;1.0
ŁÓDŹ;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;9.09;2016-08-01;pork meat with bone (shoulder) - per 1kg;8.0;2016.0;3.0
WEST POMERANIA;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2014-08-01;natural chocolate plain - per 1kg;8.0;2014.0;3.0
PODLASKIE;;PLN;4.0;bread - per 1kg;;2004-05-01;bread - per 1kg;5.0;2004.0;2.0
SUBCARPATHIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;2.39;2007-05-01;whole pickled cucumbers 0.9l - per 1pc.;5.0;2007.0;2.0
KUYAVIA-POMERANIA;;PLN;2.0;Italian head cheese - per 1kg;7.04;2007-06-01;Italian head cheese - per 1kg;6.0;2007.0;2.0
MASOVIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;8.99;2001-03-01;pork meat with bone (shoulder) - per 1kg;3.0;2001.0;1.0
WARMIA-MASURIA;;PLN;2.0;pork belly cooked - per 1kg;15.83;2008-02-01;pork belly cooked - per 1kg;2.0;2008.0;1.0
POMERANIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2001-11-01;buckwheat groats roasted whole - per 1kg;11.0;2001.0;4.0
POMERANIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.63;2001-04-01;frozen carrot and pea mix - per 1kg;4.0;2001.0;2.0
WEST POMERANIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;1.9;2001-04-01;plain mixed bread (wheat-rye) - per 1kg;4.0;2001.0;2.0
KUYAVIA-POMERANIA;;PLN;2.0;pork  meat (raw bacon) - per 1kg;7.31;2005-04-01;pork  meat (raw bacon) - per 1kg;4.0;2005.0;2.0
LOWER SILESIA;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2007-10-01;30% tomato concentrate - per 1kg;10.0;2007.0;4.0
GREATER POLAND;;PLN;2.0;Hunter's sausage dried - per 1kg;17.93;2005-05-01;Hunter's sausage dried - per 1kg;5.0;2005.0;2.0
LOWER SILESIA;white table salt bagged - per 1kg;PLN;3.0;;0.0;2003-10-01;white table salt bagged - per 1kg;10.0;2003.0;4.0
GREATER POLAND;;PLN;2.0;smoked bacon with ribs - per 1kg;16.21;2018-07-01;smoked bacon with ribs - per 1kg;7.0;2018.0;3.0
MASOVIA;;PLN;2.0;dressed chickens - per 1kg;6.31;2018-05-01;dressed chickens - per 1kg;5.0;2018.0;2.0
POMERANIA;;PLN;4.0;Masurian barley groats - per 1kg;1.47;2017-09-01;Masurian barley groats - per 1kg;9.0;2017.0;3.0
PODLASKIE;;PLN;2.0;fresh non-dressed carp - per 1kg;;2007-11-01;fresh non-dressed carp - per 1kg;11.0;2007.0;4.0
WEST POMERANIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.88;2011-12-01;plain mixed bread (wheat-rye) - per 1kg;12.0;2011.0;4.0
POMERANIA;;PLN;4.0;bread - per 1kg;;2015-12-01;bread - per 1kg;12.0;2015.0;4.0
WARMIA-MASURIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;2.57;2014-10-01;Backpacker's canned pork meat - per 300 g;10.0;2014.0;4.0
PODLASKIE;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2017-03-01;natural chocolate plain - per 1kg;3.0;2017.0;1.0
POMERANIA;;PLN;4.0;Masurian barley groats - per 1kg;1.26;2007-02-01;Masurian barley groats - per 1kg;2.0;2007.0;1.0
ŁÓDŹ;;PLN;2.0;pork ham cooked - per 1kg;17.32;2014-04-01;pork ham cooked - per 1kg;4.0;2014.0;2.0
HOLY CROSS;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2007-02-01;30% tomato concentrate - per 1kg;2.0;2007.0;1.0
KUYAVIA-POMERANIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;1.39;2014-09-01;buckwheat groats roasted whole - per 1kg;9.0;2014.0;3.0
ŁÓDŹ;;PLN;2.0;beef with bone (rump steak) - per 1kg;17.43;2008-05-01;beef with bone (rump steak) - per 1kg;5.0;2008.0;2.0
WEST POMERANIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;0.0;2017-02-01;Backpacker's canned pork meat - per 300 g;2.0;2017.0;1.0
WARMIA-MASURIA;white table salt bagged - per 1kg;PLN;3.0;;0.0;2000-12-01;white table salt bagged - per 1kg;12.0;2000.0;4.0
LESSER POLAND;;PLN;2.0;pork ham cooked - per 1kg;19.35;2016-10-01;pork ham cooked - per 1kg;10.0;2016.0;4.0
KUYAVIA-POMERANIA;white table salt bagged - per 1kg;PLN;3.0;;0.4;2012-10-01;white table salt bagged - per 1kg;10.0;2012.0;4.0
LESSER POLAND;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;11.23;2003-10-01;pork  with bone (center-cut pork chop) - per 1kg;10.0;2003.0;4.0
MASOVIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;8.53;2010-04-01;pork meat with bone (shoulder) - per 1kg;4.0;2010.0;2.0
ŁÓDŹ;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;0.0;2001-08-01;whole pickled cucumbers 0.9l - per 1pc.;8.0;2001.0;3.0
GREATER POLAND;;PLN;2.0;beef with bone (rump steak) - per 1kg;26.8;2015-05-01;beef with bone (rump steak) - per 1kg;5.0;2015.0;2.0
MASOVIA;;PLN;2.0;fresh non-dressed carp - per 1kg;;2015-08-01;fresh non-dressed carp - per 1kg;8.0;2015.0;3.0
POLAND;;PLN;2.0;haddock fillets frozen - per 1kg;12.49;2011-04-01;haddock fillets frozen - per 1kg;4.0;2011.0;2.0
WEST POMERANIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.11;2007-05-01;Poznan wheat flour, bagged - per 1kg;5.0;2007.0;2.0
GREATER POLAND;;PLN;2.0;haddock fillets frozen - per 1kg;7.95;2004-04-01;haddock fillets frozen - per 1kg;4.0;2004.0;2.0
KUYAVIA-POMERANIA;30% tomato concentrate - per 1kg;PLN;1.0;;8.83;2010-01-01;30% tomato concentrate - per 1kg;1.0;2010.0;1.0
SILESIA;beet sugar white, bagged - per 1kg;PLN;3.0;;0.0;2015-01-01;beet sugar white, bagged - per 1kg;1.0;2015.0;1.0
POMERANIA;;PLN;2.0;pork belly cooked - per 1kg;16.7;2008-10-01;pork belly cooked - per 1kg;10.0;2008.0;4.0
SUBCARPATHIA;;PLN;4.0;Masurian barley groats - per 1kg;0.0;2006-08-01;Masurian barley groats - per 1kg;8.0;2006.0;3.0
LESSER POLAND;white table salt bagged - per 1kg;PLN;3.0;;0.4;2008-06-01;white table salt bagged - per 1kg;6.0;2008.0;2.0
SILESIA;;PLN;4.0;Masurian barley groats - per 1kg;0.93;2019-05-01;Masurian barley groats - per 1kg;5.0;2019.0;2.0
ŁÓDŹ;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;12.29;2000-02-01;pork  with bone (center-cut pork chop) - per 1kg;2.0;2000.0;1.0
PODLASKIE;;PLN;2.0;beef with bone (rump steak) - per 1kg;13.46;2004-10-01;beef with bone (rump steak) - per 1kg;10.0;2004.0;4.0
ŁÓDŹ;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;8.22;2005-11-01;pork meat with bone (shoulder) - per 1kg;11.0;2005.0;4.0
HOLY CROSS;;PLN;2.0;Backpacker's canned pork meat - per 300 g;3.17;2000-10-01;Backpacker's canned pork meat - per 300 g;10.0;2000.0;4.0
SUBCARPATHIA;;PLN;4.0;Masurian barley groats - per 1kg;0.0;2007-08-01;Masurian barley groats - per 1kg;8.0;2007.0;3.0
LUBUSZ;frozen carrot and pea mix - per 1kg;EUR;1.0;;0.0;2003-10-01;frozen carrot and pea mix - per 1kg;10.0;2003.0;4.0
GREATER POLAND;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;1999-12-01;buckwheat groats roasted whole - per 1kg;12.0;1999.0;4.0
LUBUSZ;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;2.34;2007-01-01;plain mixed bread (wheat-rye) - per 1kg;1.0;2007.0;1.0
LESSER POLAND;beet sugar white, bagged - per 1kg;PLN;3.0;;3.32;2012-06-01;beet sugar white, bagged - per 1kg;6.0;2012.0;2.0
POMERANIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2007-03-01;buckwheat groats roasted whole - per 1kg;3.0;2007.0;1.0
ŁÓDŹ;;PLN;2.0;fresh non-dressed trout - per 1kg;0.0;2010-11-01;fresh non-dressed trout - per 1kg;11.0;2010.0;4.0
WEST POMERANIA;;PLN;2.0;pork belly cooked - per 1kg;14.57;2003-05-01;pork belly cooked - per 1kg;5.0;2003.0;2.0
OPOLE;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;4.0;2017-02-01;plain mixed bread (wheat-rye) - per 1kg;2.0;2017.0;1.0
KUYAVIA-POMERANIA;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2017-04-01;30% tomato concentrate - per 1kg;4.0;2017.0;2.0
HOLY CROSS;;PLN;2.0;beef with bone (rump steak) - per 1kg;8.54;2001-03-01;beef with bone (rump steak) - per 1kg;3.0;2001.0;1.0
SILESIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.79;2019-02-01;frozen carrot and pea mix - per 1kg;2.0;2019.0;1.0
SILESIA;;PLN;2.0;salted herring, non-dressed - per 1kg;8.92;2012-12-01;salted herring, non-dressed - per 1kg;12.0;2012.0;4.0
POMERANIA;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;13.01;2015-10-01;pork  with bone (center-cut pork chop) - per 1kg;10.0;2015.0;4.0
POLAND;;PLN;2.0;Hunter's sausage dried - per 1kg;19.71;2019-02-01;Hunter's sausage dried - per 1kg;2.0;2019.0;1.0
LESSER POLAND;30% tomato concentrate - per 1kg;PLN;1.0;;4.87;1999-05-01;30% tomato concentrate - per 1kg;5.0;1999.0;2.0
WEST POMERANIA;;PLN;2.0;pork  meat (raw bacon) - per 1kg;13.93;2017-01-01;pork  meat (raw bacon) - per 1kg;1.0;2017.0;1.0
MASOVIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;3.61;2002-03-01;whole pickled cucumbers 0.9l - per 1pc.;3.0;2002.0;1.0
SILESIA;;PLN;2.0;boneless beef (sirloin) - per 1kg;30.27;2012-03-01;boneless beef (sirloin) - per 1kg;3.0;2012.0;1.0
POMERANIA;30% tomato concentrate - per 1kg;PLN;1.0;;11.91;2018-12-01;30% tomato concentrate - per 1kg;12.0;2018.0;4.0
MASOVIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;2.39;2002-04-01;plain mixed bread (wheat-rye) - per 1kg;4.0;2002.0;2.0
SILESIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;5.07;2017-11-01;plain mixed bread (wheat-rye) - per 1kg;11.0;2017.0;4.0
WEST POMERANIA;;PLN;2.0;fresh non-dressed carp - per 1kg;;2005-10-01;fresh non-dressed carp - per 1kg;10.0;2005.0;4.0
ŁÓDŹ;;PLN;2.0;beef with bone (rump steak) - per 1kg;22.27;2014-01-01;beef with bone (rump steak) - per 1kg;1.0;2014.0;1.0
OPOLE;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2013-02-01;buckwheat groats roasted whole - per 1kg;2.0;2013.0;1.0
HOLY CROSS;;PLN;2.0;beef with bone (rump steak) - per 1kg;9.0;2001-04-01;beef with bone (rump steak) - per 1kg;4.0;2001.0;2.0
WARMIA-MASURIA;;PLN;2.0;pork ham cooked - per 1kg;16.48;2005-09-01;pork ham cooked - per 1kg;9.0;2005.0;3.0
LESSER POLAND;;PLN;2.0;boneless beef (sirloin) - per 1kg;20.38;2009-01-01;boneless beef (sirloin) - per 1kg;1.0;2009.0;1.0
WARMIA-MASURIA;;PLN;2.0;fresh non-dressed trout - per 1kg;16.4;2018-06-01;fresh non-dressed trout - per 1kg;6.0;2018.0;2.0
SUBCARPATHIA;;PLN;2.0;dressed chickens - per 1kg;4.45;1999-07-01;dressed chickens - per 1kg;7.0;1999.0;3.0
PODLASKIE;;PLN;2.0;pork belly cooked - per 1kg;15.29;2015-07-01;pork belly cooked - per 1kg;7.0;2015.0;3.0
WARMIA-MASURIA;;PLN;2.0;pork ham cooked - per 1kg;15.43;1999-01-01;pork ham cooked - per 1kg;1.0;1999.0;1.0
GREATER POLAND;;PLN;4.0;Masurian barley groats - per 1kg;3.6;2016-09-01;Masurian barley groats - per 1kg;9.0;2016.0;3.0
LOWER SILESIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;9.97;2009-10-01;pork meat with bone (shoulder) - per 1kg;10.0;2009.0;4.0
LOWER SILESIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;1.0499999999999998;2011-09-01;frozen carrot and pea mix - per 1kg;9.0;2011.0;3.0
SUBCARPATHIA;;PLN;4.0;Masurian barley groats - per 1kg;0.0;2001-03-01;Masurian barley groats - per 1kg;3.0;2001.0;1.0
ŁÓDŹ;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.1;2008-08-01;Poznan wheat flour, bagged - per 1kg;8.0;2008.0;3.0
LOWER SILESIA;;PLN;2.0;Italian head cheese - per 1kg;6.37;2003-10-01;Italian head cheese - per 1kg;10.0;2003.0;4.0
SUBCARPATHIA;;PLN;4.0;bread - per 1kg;;2019-05-01;bread - per 1kg;5.0;2019.0;2.0
LUBUSZ;;PLN;2.0;Italian head cheese - per 1kg;6.33;2007-09-01;Italian head cheese - per 1kg;9.0;2007.0;3.0
ŁÓDŹ;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;1.74;2000-12-01;plain mixed bread (wheat-rye) - per 1kg;12.0;2000.0;4.0
